gene_id	WT_VLCO2_1	WT_VLCO2_0	WT_LoCO2_0	WT_LoCO2_1	WT_HiCO2_0	WT_HiCO2_1	cia5_VLCO2_0	cia5_VLCO2_1	cia5_LoCO2_0	cia5_LoCO2_1	cia5_HiCO2_0	cia5_HiCO2_1
Cre01.g051875	0	1.0498	0.990346	1.0278	1.40228	0.634086	0.717595	1.01552	1.47922	1.18615	1.16413	2.24739
Cre01.g051900	119.062	129.641	154.167	165.389	127.147	161.427	137.139	114.772	147.816	139.182	162.5	193.88
Cre01.g051950	37.762	19.6929	18.3317	34.5497	14.8481	29.1393	34.4463	39.0403	30.1668	31.9198	23.0647	22.5394
Cre01.g052000	25.712	24.3058	25.1295	22.8689	18.901	19.1549	45.4337	45.1114	28.8399	27.1185	21.9124	20.5908
Cre01.g052050	23.1524	15.3608	17.2266	16.6742	9.45106	11.4588	16.1327	16.4444	16.7036	17.6269	21.2027	25.1471
Cre01.g052100	99.639	116.326	170.535	296.094	560.095	404.066	418.957	485.379	458.321	561.517	621.829	546.214
Cre01.g052150	2.92811	1.82655	1.70708	3.79092	1.65358	1.61913	6.17131	7.69626	7.37207	9.22308	11.0508	8.90114
Cre01.g052200	8.12578	1.97897	2.4643	11.833	14.6522	20.225	13.6758	13.6772	19.608	21.0023	27.6293	32.0168
Cre01.g052250	35.9968	44.6501	52.9915	54.4258	72.5598	57.5504	57.7263	61.9604	63.2213	76.8432	85.0501	86.1514
Cre01.g052300	4.83237	6.19603	5.59929	6.31082	5.23683	5.35738	5.10547	4.31715	5.68421	3.96197	4.77214	5.95687
Cre01.g052350	11.7859	8.72177	11.5484	12.9749	11.5016	13.3489	8.39102	6.83157	11.6137	10.4194	16.1987	21.8577
Cre01.g052400	8.97473	10.7198	12.359	15.7888	16.5721	16.0452	15.0603	16.4362	14.9997	18.8632	18.1083	15.4574
Cre01.g052450	4.84871	6.63684	5.7348	4.05084	6.06286	4.40546	4.69401	6.15295	5.08087	5.52827	5.76499	3.91645
Cre01.g052500	3.88711	3.81667	2.81781	3.20823	2.33421	1.82867	2.67732	2.90355	2.25774	2.68903	2.18331	2.18516
Cre01.g052550	5.11337	4.58073	4.09856	4.50805	3.53248	3.34312	6.59447	7.56334	5.43078	6.16922	5.1561	4.67388
Cre01.g052601	6.68124	5.96651	6.17666	5.19592	4.35944	4.23843	3.54607	3.75562	6.14682	4.58601	5.2184	6.18386
Cre01.g052650	0.561962	0.680729	0.621463	0.355373	0.57826	0.348793	0.417139	0.429656	0.488038	0.529725	0.364835	0.282467
Cre01.g052750	1.74749	1.41087	1.33097	1.76608	1.63844	1.58554	1.18661	1.18792	1.01681	0.904158	0.886573	0.51855
Cre01.g052800	0.135789	0.812758	1.04889	0.302906	1.30278	0.531112	1.53552	1.661	1.65144	1.71993	1.99087	1.37649
Cre01.g052850	0.0236831	0.0340097	0.0128335	0.0111191	0.0519188	0.0102896	0.116407	0.583292	0.0359934	0.278275	0.269072	0.060761
Cre01.g052950	0.432617	0.66632	0.754302	0.282589	0.762896	0.523015	1.09094	1.08324	1.20065	1.37195	1.11138	1.2354
Cre01.g053000	22.957	11.4133	6.49314	25.268	3.26689	16.3285	11.4187	10.8887	20.7653	17.8942	21.3701	27.2736
Cre01.g053050	0	0	0	0	0	0	0	0	0	0	0	0
Cre01.g053100	1.16207	1.39085	1.34549	1.66155	1.01337	0.780273	1.40202	1.63116	1.25772	1.04894	0.840382	0.867338
Cre01.g053150	17.5221	24.4359	27.5713	25.1072	67.7492	39.0243	1.06751	0.544253	1.4365	1.05141	3.86702	7.12017
Cre01.g053200	1.31815	1.46563	1.29045	1.01813	0.885639	1.03455	1.23311	0.988413	1.16324	0.982171	1.12097	1.20003
Cre01.g053250	8.34472	8.21752	8.74415	6.74992	6.14381	5.88601	6.00412	5.43195	5.88274	4.6948	3.86088	3.86912
Cre01.g053288	19.642	5.94392	5.55587	7.59128	5.4943	5.39241	6.82866	6.48289	4.78827	4.66332	6.11095	3.97338
Cre01.g053300	4.03426	2.40544	1.56782	2.14421	2.46199	1.38898	8.56811	8.2419	4.39621	3.79513	1.97265	1.99204
Cre01.g053350	1.98324	2.20538	3.19007	2.25271	3.85767	2.39041	2.70439	2.86381	2.39843	2.98196	3.54826	2.26516
Cre01.g053360	1.79745	1.27495	1.55155	1.12518	2.15312	0.925551	1.37435	1.4785	1.41652	1.56501	1.27114	0.92234
Cre01.g053450	9.57709	9.79799	8.9035	7.3925	11.0049	8.85308	7.62998	8.26972	8.06115	7.57273	7.86251	6.75814
Cre01.g053500	7.1297	12.74	13.0377	9.24268	9.8605	7.58227	12.554	12.0055	11.3218	10.3983	8.08191	10.7576
Cre01.g053550	4.89801	0.646126	0.495493	3.08655	1.33637	3.68859	3.0602	3.45912	3.88196	3.40515	1.82062	2.21171
Cre01.g053600	4.98672	5.72056	5.72144	8.05819	10.683	8.81745	5.64366	5.35468	6.69816	6.63055	9.12493	9.70044
Cre01.g053700	0.0458976	0.0439401	0.0248711	0	0	0	0	0.0079606	0	0.00929811	0.0312874	0.0117754
Cre01.g053750	3.81932	3.82199	4.57389	4.92446	4.25092	4.85429	8.12621	7.40134	8.02896	7.62785	8.76309	8.83435
Cre01.g053800	5.54392	1.31731	1.58163	10.4896	2.46804	7.89606	4.54866	5.52639	6.03978	4.42719	2.426	3.72184
Cre01.g053850	5.82932	4.55667	4.73876	5.25984	2.22164	3.22518	5.93201	7.06295	5.42186	7.03157	7.14166	5.25795
Cre01.g053900	3.19489	4.63841	5.28811	3.06448	3.76645	2.23884	2.76934	2.62273	3.58528	2.7849	3.18613	2.60898
Cre01.g053950	38.4878	31.0551	23.6872	29.5282	0.238487	0.515573	9.0214	6.99888	3.26639	2.16392	1.24054	1.19753
Cre01.g054000	3.12189	3.05824	1.94498	5.02047	7.67183	9.22951	8.53697	7.4966	9.7806	9.27977	9.03814	12.0056
Cre01.g054050	53.0248	64.3397	56.3391	68.7751	39.41	34.3039	70.7646	64.4647	50.1946	53.5719	39.17	36.4184
Cre01.g054100	4.98353	6.04925	5.85885	5.37151	6.00256	4.9098	7.59034	6.79589	7.36094	7.1411	6.7971	6.77133
Cre01.g054150	45.6014	43.0304	45.2158	49.7313	45.3984	34.3782	76.9198	81.8503	55.7864	69.5677	60.6592	51.7225
Cre01.g054200	6.83644	10.2243	10.5153	11.1356	10.4055	10.5473	16.0487	14.6307	10.2498	11.3171	9.5203	10.3101
Cre01.g054250	0.0612634	0.117325	0.0996126	0	0	0	0	0	0	0	0	0
Cre01.g054300	2.66545	4.40505	5.07268	3.42648	3.02611	2.01281	5.30288	4.72245	3.07037	3.3944	2.37955	2.03527
Cre01.g054350	7.6185	9.53058	11.0692	6.78993	6.09368	4.48814	3.80901	5.02696	4.97277	5.55703	7.1738	8.35043
Cre01.g054400	11.6576	11.5958	18.1461	14.4558	22.5506	17.785	23.2731	22.1318	22.4542	25.9948	24.0543	27.2187
Cre01.g054433	0	0	0	0	0	0	0	0	0	0.0151096	0.0169475	0
Cre01.g054500	86.1292	191.269	194.216	86.4358	105.048	102.551	50.1675	25.2931	16.8598	12.3581	13.1623	17.0432
Cre01.g054550	5.09449	3.12496	4.45794	5.73042	2.85068	4.28846	2.89537	2.74356	3.09174	3.24754	3.03949	3.4583
Cre01.g054600	3.25469	3.2364	3.49412	3.58505	3.29376	3.20883	1.56903	1.93299	1.52205	1.64893	2.04868	1.63798
Cre01.g054650	8.21841	3.48699	3.36799	3.23109	3.3331	3.25132	2.20047	2.20271	2.23413	2.43739	3.34139	2.36574
Cre01.g054700	7.75231	12.6044	15.2713	10.0842	17.0055	12.6691	10.9781	11.1135	12.468	11.4231	13.7185	14.8183
Cre01.g054750	1.08069	0.703762	0.890416	1.50183	0.331786	1.0893	0.424968	0.600128	0.306605	0.245336	0.393111	0.576736
Cre01.g054800	6.82687	9.0558	8.80476	5.46132	3.59548	2.46896	8.77323	7.542	5.62252	4.74459	3.7096	3.91401
Cre01.g054850	53.3482	49.0478	61.3726	77.7331	104.047	116.766	69.0587	62.4498	101.334	95.6051	123.668	134.25
Cre01.g054900	2.89637	1.77288	1.90406	2.0063	2.81055	2.62679	1.15135	1.36167	2.00452	2.21894	3.7117	3.91444
Cre01.g054950	1.55522	1.9252	1.5626	1.13977	0.998146	1.18658	1.41704	1.44805	1.46052	1.32233	1.93158	2.18004
